SECTION,A,B,C,D,F,A - F,GPA,I,S,U,Q,X,TOTAL,INSTRUCTOR
AERO-201,14,11,1,0,0,26,3.5,0,0,0,0,0,26,LEYVA L
AERO-201,11,20,6,1,1,39,3,0,0,0,1,0,40,LEYVA L
AERO-201,17,16,3,0,0,36,3.388,0,0,0,0,0,36,LEYVA L
AERO-201,10,15,3,3,0,31,3.032,0,0,0,2,0,33,WORSHAM B
AERO-201,13,14,4,2,0,33,3.151,0,0,0,1,0,34,WORSHAM B
AERO-201,13,11,4,2,0,30,3.166,0,0,0,3,0,33,WORSHAM B
AERO-211,33,1,0,0,0,34,3.97,0,0,0,0,0,34,MOBLE B
AERO-211,43,16,8,0,0,67,3.522,0,0,0,0,0,67,MOBLE B
AERO-211,35,45,14,0,4,98,3.091,0,0,0,0,0,98,DEMARS K
AERO-212,8,2,0,0,0,10,3.8,0,0,0,1,0,11,BOYD J
AERO-212,25,38,8,0,1,72,3.194,1,0,0,11,0,84,BOYD J
AERO-212,19,55,25,0,1,100,2.91,0,0,0,0,0,100,DOGARIU A
AERO-212,8,19,10,0,0,37,2.945,0,0,0,2,0,39,DOGARIU A
AERO-214,7,6,5,2,0,20,2.9,0,0,0,0,0,20,NARAGHI M
AERO-214,7,5,5,2,0,19,2.894,0,0,0,0,0,19,NARAGHI M
AERO-214,1,3,3,2,0,9,2.333,0,0,0,3,0,12,NARAGHI M
AERO-222,5,9,9,5,1,29,2.413,1,0,0,3,0,33,WHITCOMB J
AERO-222,6,8,6,4,0,24,2.666,0,0,0,1,0,25,WHITCOMB J
AERO-301,6,3,0,0,0,9,3.666,0,0,0,0,0,9,TROPINA A
AERO-301,33,27,13,5,0,78,3.128,0,0,0,1,0,79,TROPINA A
AERO-301,9,29,20,3,6,67,2.477,0,0,0,7,0,74,WHITE E
AERO-303,4,4,0,0,0,8,3.5,0,0,0,0,0,8,GROOT K
AERO-303,32,24,11,0,3,70,3.171,0,0,0,0,0,70,GROOT K
AERO-303,4,16,2,2,1,25,2.8,0,0,0,1,0,26,GROOT K
AERO-304,2,6,2,0,0,10,3,0,0,0,0,0,10,BENZERGA A
AERO-304,10,24,19,3,2,58,2.637,0,0,0,3,0,61,BENZERGA A
AERO-304,23,45,17,4,0,89,2.977,0,0,0,10,0,99,TALREJA R
AERO-306,63,12,4,1,4,84,3.535,1,0,0,1,0,86,STROUBOULIS T
AERO-307,14,5,1,0,0,20,3.65,0,0,0,0,0,20,JACKSON S
AERO-307,14,2,1,0,1,18,3.555,0,0,0,1,0,19,JACKSON S
AERO-307,18,1,0,0,1,20,3.75,0,0,0,0,0,20,JACKSON S
AERO-307,19,1,0,0,0,20,3.95,0,0,0,0,0,20,JACKSON S
AERO-307,10,3,0,0,1,14,3.5,0,0,0,0,0,14,JACKSON S
AERO-307,1,3,1,0,0,5,3,0,0,0,1,0,6,JACKSON S
